177.00	72.00	m
180.00	72.50	m
155.00	57.00	f
168.00	60.00	f
172.00	65.00	m
173.00	71.00	m
163.00	53.00	f
160.00	45.00	f
178.00	71.00	m
168.00	59.00	f
170.00	65.00	m
170.00	62.00	m
158.00	50.00	f
157.00	45.00	f
184.00	85.00	m
173.00	66.00	f
169.00	65.00	f
173.00	53.00	f
156.00	54.00	f
174.00	70.00	m
163.00	54.00	f
164.00	48.00	f
160.00	46.00	f
158.00	44.00	f
155.00	40.00	f
160.00	59.00	f
160.00	50.00	f
183.00	70.00	m
185.00	71.00	m
153.00	40.00	f
160.00	54.00	f
165.00	48.00	f
163.00	52.00	f
160.00	50.00	f
171.00	68.00	m
175.00	70.00	m
166.00	55.00	f
165.00	59.00	f
160.00	47.00	f
170.00	53.00	m
167.00	49.00	f
165.00	47.00	f
161.00	71.50	f
155.00	44.00	f
162.00	63.00	f
160.00	55.00	f
176.00	77.00	m
168.00	54.00	f
160.00	49.00	f
158.00	55.00	f
181.00	72.00	m
173.00	58.00	m
170.00	68.00	f
156.00	54.00	f
168.00	60.00	f
160.00	56.00	f
165.00	62.00	f
160.00	48.00	f
166.00	59.00	f
155.00	42.50	f
175.00	63.00	m
173.00	63.00	m
160.00	50.00	f
172.00	65.00	f
156.00	49.50	f
165.00	45.00	f
161.00	49.00	f
174.00	57.00	f
170.00	58.00	f
176.00	67.50	m
185.00	100.00	m
176.00	59.00	m
182.00	70.00	m
167.00	56.00	m
167.00	52.00	f
158.00	54.00	f
160.00	53.00	f
173.00	63.00	f
172.00	65.00	m
182.00	83.00	m
168.00	49.00	f
161.00	58.00	f
158.00	47.00	f
166.00	58.00	f
160.00	52.00	f
169.00	53.00	f
170.00	58.00	f
163.00	51.00	f
170.00	48.00	f
160.00	50.00	f
172.00	56.00	f
158.00	45.00	f
176.00	64.00	f
160.00	58.00	f
167.00	53.00	f
160.00	50.00	f
166.00	51.00	f
179.00	62.00	m
163.00	55.00	f
165.00	52.00	f
173.00	60.00	f
168.00	55.00	f
160.00	60.00	f
165.00	49.00	f
180.00	79.00	m
164.00	50.00	f
167.00	58.00	f
175.00	85.00	m
175.00	45.00	f
169.00	57.00	f
159.00	62.00	f
165.00	57.00	f
155.00	42.00	f
174.00	55.00	f
158.00	47.00	f
174.00	80.00	m
158.00	48.00	f
155.00	48.00	f
168.00	48.00	f
166.00	51.50	f
179.00	53.00	m
165.00	53.00	f
185.00	70.00	m
160.00	45.00	f
175.00	69.00	m
182.00	68.00	m
180.00	70.00	m
155.00	50.00	f
170.00	60.00	f
160.00	50.00	f
169.00	63.00	f
158.00	58.00	f
182.00	66.00	m
160.00	49.00	f
175.00	75.00	m
170.00	50.00	m
160.00	49.00	f
178.00	60.00	m
172.00	60.00	m
183.00	70.00	m
156.00	50.00	f
160.00	42.00	f
183.00	78.00	m
180.00	75.00	m
183.00	73.00	m
180.00	68.00	m
175.00	62.00	m
186.00	73.00	m
165.00	60.00	f
156.00	48.00	f
173.00	60.00	f
172.00	55.00	f
178.00	65.00	m
165.00	49.00	f
192.00	79.00	m
157.00	48.50	f
170.00	52.00	f
175.00	50.00	m
169.00	64.00	m
165.00	55.00	f
154.00	47.00	f
175.00	64.00	m
175.00	50.00	m
167.00	62.00	f
170.00	60.00	m
160.00	48.00	f
165.00	51.00	f
175.00	67.00	m
157.00	50.00	f
163.00	54.00	f
170.00	55.00	m
171.00	63.00	f
160.00	60.00	f
175.00	65.00	m
160.00	50.00	f
183.00	80.00	m
167.00	48.50	f
167.00	60.00	f
160.00	50.00	f
160.00	65.00	f
185.00	60.00	m
181.00	70.00	m
178.00	85.00	m
171.00	54.00	m
186.00	73.00	m
175.00	53.00	m
160.00	50.00	f
